?complex    ?complexName                                                           ?complexLocation          ?reactomeID               ?protein
Complex31   TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7                                      plasma membrane           Reactome DB_ID: 2169047   Complex15
Complex32   TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15                          plasma membrane           Reactome DB_ID: 2179287   Protein58
Complex32   TGFB1:TGFBR2:Ub-p-TGFBR1:Ub-SMAD7:UCHL5/USP15                          plasma membrane           Reactome DB_ID: 2179287   Complex31
Complex33   TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7                                         plasma membrane           Reactome DB_ID: 2179328   Protein43
Complex33   TGFB1:TGFBR2:p-TGFBR1:Ub-SMAD7                                         plasma membrane           Reactome DB_ID: 2179328   Complex15
Complex34   SMAD2:SMURF2                                                           cytosol                   Reactome DB_ID: 2176457   Protein32
Complex34   SMAD2:SMURF2                                                           cytosol                   Reactome DB_ID: 2176457   Protein15
Complex35   Ub-SMAD2                                                               cytosol                   Reactome DB_ID: 2176443   Protein43
Complex35   Ub-SMAD2                                                               cytosol                   Reactome DB_ID: 2176443   Protein15
Complex36   SMAD3:STUB1                                                            cytosol                   Reactome DB_ID: 2187365   Protein61
Complex36   SMAD3:STUB1                                                            cytosol                   Reactome DB_ID: 2187365   Protein14
Complex37   Ub-SMAD3                                                               cytosol                   Reactome DB_ID: 2187371   Protein43
Complex37   Ub-SMAD3                                                               cytosol                   Reactome DB_ID: 2187371   Protein14
Complex38   p-2S-SMAD2/3:PMEPA1                                                    early endosome membrane   Reactome DB_ID: 2187343   Protein62
Complex38   p-2S-SMAD2/3:PMEPA1                                                    early endosome membrane   Reactome DB_ID: 2187343   Protein18
Complex39   SMAD2/3:PMEPA1                                                         plasma membrane           Reactome DB_ID: 2187341   Protein63
Complex39   SMAD2/3:PMEPA1                                                         plasma membrane           Reactome DB_ID: 2187341   Physical Entity1
Complex4    TGFBR2 homodimer                                                       plasma membrane           Reactome DB_ID: 170866    Protein6
Complex40   p-2S-SMAD2/3:MTMR4                                                     early endosome membrane   Reactome DB_ID: 2187399   Protein64
Complex40   p-2S-SMAD2/3:MTMR4                                                     early endosome membrane   Reactome DB_ID: 2187399   Protein18
Complex41   Tight Junction Complex:PARD6A:RHOA                                     cell junction             Reactome DB_ID: 2134514   Protein66
Complex41   Tight Junction Complex:PARD6A:RHOA                                     cell junction             Reactome DB_ID: 2134514   Protein67
Complex41   Tight Junction Complex:PARD6A:RHOA                                     cell junction             Reactome DB_ID: 2134514   Protein68
Complex41   Tight Junction Complex:PARD6A:RHOA                                     cell junction             Reactome DB_ID: 2134514   Protein65
Complex41   Tight Junction Complex:PARD6A:RHOA                                     cell junction             Reactome DB_ID: 2134514   Complex42
Complex42   PARD3:PARD6A:PRKCZ                                                     cell junction             Reactome DB_ID: 2133770   Protein71
Complex42   PARD3:PARD6A:PRKCZ                                                     cell junction             Reactome DB_ID: 2133770   Protein70
Complex42   PARD3:PARD6A:PRKCZ                                                     cell junction             Reactome DB_ID: 2133770   Protein69
Complex43   Tight Junction Complex:TGFBR1:PARD6A:RHOA                              cell junction             Reactome DB_ID: 2134509   Complex6
Complex43   Tight Junction Complex:TGFBR1:PARD6A:RHOA                              cell junction             Reactome DB_ID: 2134509   Complex41
Complex44   Tight Junction Complex:TGFB1:TGFBR2:TGFBR1:PARD6A:RHOA                 cell junction             Reactome DB_ID: 2134522   Complex8
Complex44   Tight Junction Complex:TGFB1:TGFBR2:TGFBR1:PARD6A:RHOA                 cell junction             Reactome DB_ID: 2134522   Complex41
Complex45   Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA             cell junction             Reactome DB_ID: 2134534   Complex9
Complex45   Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA             cell junction             Reactome DB_ID: 2134534   Complex46
Complex46   Tight Junction Complex:p-PARD6A:RHOA                                   cell junction             Reactome DB_ID: 2134529   Protein66
Complex46   Tight Junction Complex:p-PARD6A:RHOA                                   cell junction             Reactome DB_ID: 2134529   Protein67
Complex46   Tight Junction Complex:p-PARD6A:RHOA                                   cell junction             Reactome DB_ID: 2134529   Protein68
Complex46   Tight Junction Complex:p-PARD6A:RHOA                                   cell junction             Reactome DB_ID: 2134529   Protein65
Complex46   Tight Junction Complex:p-PARD6A:RHOA                                   cell junction             Reactome DB_ID: 2134529   Complex47
Complex47   PARD3:p-PARD6A:PRKCZ                                                   cell junction             Reactome DB_ID: 2134528   Protein71
Complex47   PARD3:p-PARD6A:PRKCZ                                                   cell junction             Reactome DB_ID: 2134528   Protein72
Complex47   PARD3:p-PARD6A:PRKCZ                                                   cell junction             Reactome DB_ID: 2134528   Protein70
Complex48   Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA:SMURF1      plasma membrane           Reactome DB_ID: 2160929   Protein37
Complex48   Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:RHOA:SMURF1      plasma membrane           Reactome DB_ID: 2160929   Complex45
Complex49   Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:Ub-RHOA:SMURF1   cell junction             Reactome DB_ID: 2160934   Protein43
Complex49   Tight Junction Complex:TGFB1:TGFBR2:p-TGFBR1:p-PARD6A:Ub-RHOA:SMURF1   cell junction             Reactome DB_ID: 2160934   Complex48
Complex5    Dimeric TGFB1:TGFBR2 homodimer                                         plasma membrane           Reactome DB_ID: 170865    Complex4
Complex5    Dimeric TGFB1:TGFBR2 homodimer                                         plasma membrane           Reactome DB_ID: 170865    Complex3
Complex50   p-2S-SMAD2/3:SMAD4                                                     nucleoplasm               Reactome DB_ID: 173511    Protein73
Complex50   p-2S-SMAD2/3:SMAD4                                                     nucleoplasm               Reactome DB_ID: 173511    Protein74
Complex51   p-T,2S-SMAD2/3:SMAD4                                                   nucleoplasm               Reactome DB_ID: 2176487   Protein73
Complex51   p-T,2S-SMAD2/3:SMAD4                                                   nucleoplasm               Reactome DB_ID: 2176487   Physical Entity3
Complex53   CDK8:CCNC                                                              nucleoplasm               Reactome DB_ID: 1604465   Protein83
Complex53   CDK8:CCNC                                                              nucleoplasm               Reactome DB_ID: 1604465   Protein82
Complex54   P-TEFb complex                                                         nucleoplasm               Reactome DB_ID: 112431    Protein85
