?protein     ?proteinName                  ?uniprotID                ?reactomeID               ?proteinLocation
Protein38    SMURF1-1                      UniProt:Q9HCE7-1 SMURF1   Reactome DB_ID: 173547    cytosol
Protein39    SMURF1-2                      UniProt:Q9HCE7-2 SMURF1   Reactome DB_ID: 173539    cytosol
Protein4     FURIN                         UniProt:P09958 FURIN      Reactome DB_ID: 157049    Golgi membrane
Protein40    XPO1                          UniProt:O14980 XPO1       Reactome DB_ID: 165539    cytosol
Protein41    NEDD4L                        UniProt:Q96PU5 NEDD4L     Reactome DB_ID: 2176420   nucleoplasm
Protein42    NEDD4L                        UniProt:Q96PU5 NEDD4L     Reactome DB_ID: 976003    cytosol
Protein44    ubiquitin (RPS27A)            UniProt:P62979 RPS27A     Reactome DB_ID: 939205    cytosol
Protein45    ubiquitin (UBA52)             UniProt:P62987 UBA52      Reactome DB_ID: 939203    cytosol
Protein46    ubiquitin (UBB 1)             UniProt:P0CG47 UBB        Reactome DB_ID: 939214    cytosol
Protein47    ubiquitin (UBB 2)             UniProt:P0CG47 UBB        Reactome DB_ID: 939213    cytosol
Protein48    ubiquitin (UBB 3)             UniProt:P0CG47 UBB        Reactome DB_ID: 939230    cytosol
Protein49    ubiquitin (UBC 1)             UniProt:P0CG48 UBC        Reactome DB_ID: 939188    cytosol
Protein5     TGF-beta-1                    UniProt:P01137 TGFB1      Reactome DB_ID: 170838    extracellular region
Protein50    ubiquitin (UBC 2)             UniProt:P0CG48 UBC        Reactome DB_ID: 939164    cytosol
Protein51    ubiquitin (UBC 3)             UniProt:P0CG48 UBC        Reactome DB_ID: 939258    cytosol
Protein52    ubiquitin (UBC 4)             UniProt:P0CG48 UBC        Reactome DB_ID: 939192    cytosol
Protein53    ubiquitin (UBC 5)             UniProt:P0CG48 UBC        Reactome DB_ID: 939232    cytosol
Protein54    ubiquitin (UBC 6)             UniProt:P0CG48 UBC        Reactome DB_ID: 939191    cytosol
Protein55    ubiquitin (UBC 7)             UniProt:P0CG48 UBC        Reactome DB_ID: 939184    cytosol
Protein56    ubiquitin (UBC 8)             UniProt:P0CG48 UBC        Reactome DB_ID: 939239    cytosol
Protein57    ubiquitin (UBC 9)             UniProt:P0CG48 UBC        Reactome DB_ID: 939165    cytosol
Protein59    UCHL5                         UniProt:Q9Y5K5 UCHL5      Reactome DB_ID: 1629778   cytosol
Protein6     TGF-beta II receptor          UniProt:P37173 TGFBR2     Reactome DB_ID: 170842    plasma membrane
Protein60    USP15                         UniProt:Q9Y4E8 USP15      Reactome DB_ID: 2173138   cytosol
Protein61    STUB1                         UniProt:Q9UNE7 STUB1      Reactome DB_ID: 975970    cytosol
Protein62    STAG1                         UniProt:Q969W9 PMEPA1     Reactome DB_ID: 2187347   early endosome membrane
Protein63    STAG1                         UniProt:Q969W9 PMEPA1     Reactome DB_ID: 2186792   plasma membrane
Protein64    MTMR4                         UniProt:Q9NYA4 MTMR4      Reactome DB_ID: 2187404   early endosome membrane
Protein65    ARHGEF18                      UniProt:Q6ZSZ5 ARHGEF18   Reactome DB_ID: 2134486   cell junction
Protein66    CGN                           UniProt:Q9P2M7 CGN        Reactome DB_ID: 2134478   cell junction
Protein67    F11R                          UniProt:Q9Y624 F11R       Reactome DB_ID: 2134498   cell junction
Protein68    RHOA                          UniProt:P61586 RHOA       Reactome DB_ID: 2134503   cell junction
Protein69    PARD6A                        UniProt:Q9NPB6 PARD6A     Reactome DB_ID: 2134480   cell junction
Protein7     TGF-beta I receptor           UniProt:P36897 TGFBR1     Reactome DB_ID: 170839    plasma membrane
Protein70    PRKCZ                         UniProt:Q05513 PRKCZ      Reactome DB_ID: 2134483   cell junction
Protein71    PARD3                         UniProt:Q8TEW0 PARD3      Reactome DB_ID: 2134481   cell junction
Protein72    p-PARD6A                      UniProt:Q9NPB6 PARD6A     Reactome DB_ID: 2134533   plasma membrane
Protein73    SMAD4                         UniProt:Q13485 SMAD4      Reactome DB_ID: 177103    nucleoplasm
Protein75    Phospho-SMAD 2-1              UniProt:Q15796-1 SMAD2    Reactome DB_ID: 177099    nucleoplasm
Protein76    Phospho-SMAD 2-2              UniProt:Q15796-2 SMAD2    Reactome DB_ID: 177101    nucleoplasm
Protein77    Phospho-SMAD 3                UniProt:P84022 SMAD3      Reactome DB_ID: 177104    nucleoplasm
Protein78    p-T179, S423, S425-SMAD 3     UniProt:P84022 SMAD3      Reactome DB_ID: 2176471   nucleoplasm
Protein8     FKBP1A                        UniProt:P62942 FKBP1A     Reactome DB_ID: 2026007   cytosol
Protein80    p-T220, S465, S467-SMAD2-1    UniProt:Q15796-1 SMAD2    Reactome DB_ID: 2176479   nucleoplasm
Protein81    p-T190, S435, S437-SMAD 2-2   UniProt:Q15796-2 SMAD2    Reactome DB_ID: 2176473   nucleoplasm
Protein82    CycC                          UniProt:P24863 CCNC       Reactome DB_ID: 212418    nucleoplasm
Protein83    CDK8                          UniProt:P49336 CDK8       Reactome DB_ID: 212440    nucleoplasm
Protein84    Cyclin T2                     UniProt:O60583 CCNT2      Reactome DB_ID: 51613     nucleoplasm
Protein85    CycT1                         UniProt:O60563 CCNT1      Reactome DB_ID: 51611     nucleoplasm
Protein86    C-2K                          UniProt:P50750 CDK9       Reactome DB_ID: 51801     nucleoplasm
Protein87    TAZ                           UniProt:Q9GZV5 WWTR1      Reactome DB_ID: 1629773   cytosol
Protein88    TAZ                           UniProt:Q9GZV5 WWTR1      Reactome DB_ID: 1629775   nucleoplasm
Protein89    PAI                           UniProt:P05121 SERPINE1   Reactome DB_ID: 61271     extracellular region
Protein9     Phospho-TGF-beta I receptor   UniProt:P36897 TGFBR1     Reactome DB_ID: 170849    plasma membrane
Protein91    TGIF                          UniProt:Q15583 TGIF1      Reactome DB_ID: 2186594   nucleoplasm
Protein92    TGIF2                         UniProt:Q9GZN2 TGIF2      Reactome DB_ID: 452977    nucleoplasm
Protein93    HDAC1                         UniProt:Q13547 HDAC1      Reactome DB_ID: 205021    nucleoplasm
Protein94    RNF111                        UniProt:Q6ZNA4 RNF111     Reactome DB_ID: 2186765   nucleoplasm
Protein96    ubiquitin (RPS27A)            UniProt:P62979 RPS27A     Reactome DB_ID: 939849    nucleoplasm
Protein97    ubiquitin (UBA52)             UniProt:P62987 UBA52      Reactome DB_ID: 939844    nucleoplasm
Protein98    ubiquitin (UBB 1)             UniProt:P0CG47 UBB        Reactome DB_ID: 939847    nucleoplasm
Protein99    ubiquitin (UBB 2)             UniProt:P0CG47 UBB        Reactome DB_ID: 939870    nucleoplasm

